,mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,TEAM,Final,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,TEAM_opp,Final_opp,home_opp,season,date,won
0,265.0,265.0,46.0,100.0,0.46,15.0,39.0,0.385,25.0,32.0,0.781,11.0,32.0,43.0,23.0,9.0,6.0,13.0,29.0,132.0,,0.579,0.535,0.39,0.32,23.4,78.0,48.9,50.0,8.1,9.0,10.2,100.0,118.7,124.1,,,16.0,34.0,0.75,7.0,15.0,1.0,7.0,9.0,1.0,4.0,10.0,14.0,6.0,2.0,3.0,3.0,6.0,46.0,6.0,0.922,0.875,1.0,2.0,16.2,37.1,25.9,22.9,6.4,6.1,25.0,39.5,197.0,132.0,UTA,132,0,1,265.0,265.0,51.0,93.0,0.548,11.0,26.0,0.423,25.0,35.0,0.714,9.0,36.0,45.0,29.0,8.0,9.0,13.0,27.0,138.0,,0.637,0.608,0.28,0.376,22.0,76.6,51.1,56.9,7.2,14.8,10.7,100.0,124.1,118.7,,,15.0,25.0,1.0,3.0,8.0,1.0,16.0,20.0,0.8,4.0,7.0,11.0,13.0,3.0,3.0,4.0,6.0,49.0,23.0,0.945,1.0,0.625,1.333,14.3,44.2,23.6,33.7,3.9,7.2,20.7,39.9,160.0,125.0,NOP,138,1,2020,2020-01-16,False
1,265.0,265.0,51.0,93.0,0.548,11.0,26.0,0.423,25.0,35.0,0.714,9.0,36.0,45.0,29.0,8.0,9.0,13.0,27.0,138.0,,0.637,0.608,0.28,0.376,22.0,76.6,51.1,56.9,7.2,14.8,10.7,100.0,124.1,118.7,,,15.0,25.0,1.0,3.0,8.0,1.0,16.0,20.0,0.8,4.0,7.0,11.0,13.0,3.0,3.0,4.0,6.0,49.0,23.0,0.945,1.0,0.625,1.333,14.3,44.2,23.6,33.7,3.9,7.2,20.7,39.9,160.0,125.0,NOP,138,1,0,265.0,265.0,46.0,100.0,0.46,15.0,39.0,0.385,25.0,32.0,0.781,11.0,32.0,43.0,23.0,9.0,6.0,13.0,29.0,132.0,,0.579,0.535,0.39,0.32,23.4,78.0,48.9,50.0,8.1,9.0,10.2,100.0,118.7,124.1,,,16.0,34.0,0.75,7.0,15.0,1.0,7.0,9.0,1.0,4.0,10.0,14.0,6.0,2.0,3.0,3.0,6.0,46.0,6.0,0.922,0.875,1.0,2.0,16.2,37.1,25.9,22.9,6.4,6.1,25.0,39.5,197.0,132.0,UTA,132,0,2020,2020-01-16,True
2,240.0,240.0,48.0,91.0,0.527,20.0,41.0,0.488,13.0,21.0,0.619,12.0,37.0,49.0,39.0,11.0,4.0,12.0,28.0,129.0,,0.643,0.637,0.451,0.231,30.8,84.1,59.0,81.3,11.4,9.8,10.7,100.0,133.7,108.9,,,8.0,14.0,0.727,8.0,11.0,0.727,4.0,5.0,1.0,3.0,10.0,12.0,11.0,3.0,2.0,4.0,4.0,25.0,23.0,1.093,1.091,1.0,2.0,13.0,40.2,25.6,54.5,5.5,11.9,25.2,31.2,197.0,115.0,DET,129,0,1,240.0,240.0,34.0,77.0,0.442,12.0,36.0,0.333,25.0,30.0,0.833,7.0,27.0,34.0,17.0,6.0,5.0,14.0,20.0,105.0,,0.582,0.519,0.468,0.39,15.9,69.2,41.0,50.0,6.2,10.0,13.4,100.0,108.9,133.7,,,14.0,20.0,0.7,5.0,8.0,0.667,8.0,9.0,1.0,2.0,7.0,8.0,6.0,2.0,2.0,4.0,4.0,36.0,-4.0,0.844,0.825,1.0,0.818,10.3,34.9,21.8,30.2,4.7,7.8,50.0,33.5,147.0,141.0,TOR,105,1,2021,2021-03-03,True
3,240.0,240.0,34.0,77.0,0.442,12.0,36.0,0.333,25.0,30.0,0.833,7.0,27.0,34.0,17.0,6.0,5.0,14.0,20.0,105.0,,0.582,0.519,0.468,0.39,15.9,69.2,41.0,50.0,6.2,10.0,13.4,100.0,108.9,133.7,,,14.0,20.0,0.7,5.0,8.0,0.667,8.0,9.0,1.0,2.0,7.0,8.0,6.0,2.0,2.0,4.0,4.0,36.0,-4.0,0.844,0.825,1.0,0.818,10.3,34.9,21.8,30.2,4.7,7.8,50.0,33.5,147.0,141.0,TOR,105,1,0,240.0,240.0,48.0,91.0,0.527,20.0,41.0,0.488,13.0,21.0,0.619,12.0,37.0,49.0,39.0,11.0,4.0,12.0,28.0,129.0,,0.643,0.637,0.451,0.231,30.8,84.1,59.0,81.3,11.4,9.8,10.7,100.0,133.7,108.9,,,8.0,14.0,0.727,8.0,11.0,0.727,4.0,5.0,1.0,3.0,10.0,12.0,11.0,3.0,2.0,4.0,4.0,25.0,23.0,1.093,1.091,1.0,2.0,13.0,40.2,25.6,54.5,5.5,11.9,25.2,31.2,197.0,115.0,DET,129,0,2021,2021-03-03,False
4,240.0,240.0,38.0,83.0,0.458,12.0,28.0,0.429,16.0,20.0,0.8,6.0,24.0,30.0,18.0,10.0,2.0,9.0,19.0,104.0,,0.566,0.53,0.337,0.241,13.6,64.9,37.0,47.4,10.9,4.7,8.9,100.0,113.7,125.7,,,12.0,19.0,0.667,3.0,7.0,1.0,5.0,8.0,1.0,3.0,8.0,9.0,11.0,4.0,1.0,3.0,4.0,30.0,11.0,0.773,0.75,0.778,0.667,10.1,38.8,19.9,63.5,5.9,29.1,26.2,81.6,177.0,136.0,SAS,104,0,1,240.0,240.0,43.0,83.0,0.518,13.0,40.0,0.325,16.0,19.0,0.842,13.0,38.0,51.0,29.0,3.0,1.0,14.0,19.0,115.0,,0.629,0.596,0.482,0.229,35.1,86.4,63.0,67.4,3.3,1.8,13.3,100.0,125.7,113.7,,,11.0,20.0,1.0,3.0,10.0,0.5,4.0,5.0,1.0,4.0,11.0,14.0,12.0,1.0,1.0,6.0,4.0,28.0,21.0,1.042,1.0,0.857,1.0,51.2,32.0,35.1,56.5,10.4,2.7,41.0,32.0,180.0,118.0,DAL,115,1,2021,2021-03-10,False
5,240.0,240.0,43.0,83.0,0.518,13.0,40.0,0.325,16.0,19.0,0.842,13.0,38.0,51.0,29.0,3.0,1.0,14.0,19.0,115.0,,0.629,0.596,0.482,0.229,35.1,86.4,63.0,67.4,3.3,1.8,13.3,100.0,125.7,113.7,,,11.0,20.0,1.0,3.0,10.0,0.5,4.0,5.0,1.0,4.0,11.0,14.0,12.0,1.0,1.0,6.0,4.0,28.0,21.0,1.042,1.0,0.857,1.0,51.2,32.0,35.1,56.5,10.4,2.7,41.0,32.0,180.0,118.0,DAL,115,1,0,240.0,240.0,38.0,83.0,0.458,12.0,28.0,0.429,16.0,20.0,0.8,6.0,24.0,30.0,18.0,10.0,2.0,9.0,19.0,104.0,,0.566,0.53,0.337,0.241,13.6,64.9,37.0,47.4,10.9,4.7,8.9,100.0,113.7,125.7,,,12.0,19.0,0.667,3.0,7.0,1.0,5.0,8.0,1.0,3.0,8.0,9.0,11.0,4.0,1.0,3.0,4.0,30.0,11.0,0.773,0.75,0.778,0.667,10.1,38.8,19.9,63.5,5.9,29.1,26.2,81.6,177.0,136.0,SAS,104,0,2021,2021-03-10,True
6,240.0,240.0,34.0,88.0,0.386,11.0,33.0,0.333,14.0,17.0,0.824,10.0,41.0,51.0,19.0,5.0,4.0,10.0,18.0,93.0,,0.487,0.449,0.375,0.193,18.5,83.7,49.5,55.9,5.3,9.5,9.5,100.0,98.5,101.6,,,9.0,19.0,0.667,3.0,6.0,0.5,6.0,7.0,1.0,2.0,7.0,8.0,3.0,1.0,3.0,2.0,6.0,26.0,14.0,0.658,0.667,0.714,2.333,10.4,34.7,19.3,37.6,3.9,20.3,25.0,31.1,232.0,108.0,ORL,93,0,1,240.0,240.0,34.0,82.0,0.415,11.0,40.0,0.275,17.0,23.0,0.739,8.0,44.0,52.0,25.0,9.0,5.0,12.0,17.0,96.0,,0.521,0.482,0.488,0.28,16.3,81.5,50.5,73.5,9.5,9.1,11.5,100.0,101.6,98.5,,,8.0,20.0,0.615,5.0,15.0,0.333,9.0,10.0,1.0,4.0,11.0,11.0,6.0,2.0,2.0,3.0,4.0,24.0,14.0,0.652,0.615,0.8,0.75,14.2,30.5,18.6,35.8,4.8,6.3,34.0,27.2,126.0,106.0,LAL,96,1,2021,2021-03-28,False
7,240.0,240.0,34.0,82.0,0.415,11.0,40.0,0.275,17.0,23.0,0.739,8.0,44.0,52.0,25.0,9.0,5.0,12.0,17.0,96.0,,0.521,0.482,0.488,0.28,16.3,81.5,50.5,73.5,9.5,9.1,11.5,100.0,101.6,98.5,,,8.0,20.0,0.615,5.0,15.0,0.333,9.0,10.0,1.0,4.0,11.0,11.0,6.0,2.0,2.0,3.0,4.0,24.0,14.0,0.652,0.615,0.8,0.75,14.2,30.5,18.6,35.8,4.8,6.3,34.0,27.2,126.0,106.0,LAL,96,1,0,240.0,240.0,34.0,88.0,0.386,11.0,33.0,0.333,14.0,17.0,0.824,10.0,41.0,51.0,19.0,5.0,4.0,10.0,18.0,93.0,,0.487,0.449,0.375,0.193,18.5,83.7,49.5,55.9,5.3,9.5,9.5,100.0,98.5,101.6,,,9.0,19.0,0.667,3.0,6.0,0.5,6.0,7.0,1.0,2.0,7.0,8.0,3.0,1.0,3.0,2.0,6.0,26.0,14.0,0.658,0.667,0.714,2.333,10.4,34.7,19.3,37.6,3.9,20.3,25.0,31.1,232.0,108.0,ORL,93,0,2021,2021-03-28,True
8,240.0,240.0,37.0,82.0,0.451,15.0,35.0,0.429,15.0,16.0,0.938,10.0,34.0,44.0,22.0,2.0,1.0,14.0,29.0,104.0,,0.584,0.543,0.427,0.195,22.2,85.0,51.8,59.5,2.1,2.0,13.6,100.0,111.7,119.2,,,11.0,16.0,0.688,5.0,9.0,1.0,5.0,6.0,1.0,5.0,11.0,16.0,7.0,1.0,1.0,3.0,6.0,31.0,2.0,0.873,0.844,1.0,0.545,21.8,53.9,36.9,31.1,2.1,2.7,66.7,34.6,148.0,123.0,MEM,104,0,1,240.0,240.0,39.0,78.0,0.5,7.0,27.0,0.259,26.0,32.0,0.813,6.0,35.0,41.0,23.0,6.0,5.0,10.0,15.0,111.0,,0.603,0.545,0.346,0.41,15.0,77.8,48.2,59.0,6.4,10.6,9.8,100.0,119.2,111.7,,,10.0,19.0,0.667,2.0,6.0,0.333,8.0,12.0,1.0,2.0,10.0,12.0,8.0,2.0,2.0,4.0,5.0,27.0,13.0,0.667,0.667,0.667,0.923,8.5,27.9,17.7,39.9,2.8,5.3,25.0,28.8,149.0,121.0,NOP,111,1,2018,2018-01-20,False
9,240.0,240.0,39.0,78.0,0.5,7.0,27.0,0.259,26.0,32.0,0.813,6.0,35.0,41.0,23.0,6.0,5.0,10.0,15.0,111.0,,0.603,0.545,0.346,0.41,15.0,77.8,48.2,59.0,6.4,10.6,9.8,100.0,119.2,111.7,,,10.0,19.0,0.667,2.0,6.0,0.333,8.0,12.0,1.0,2.0,10.0,12.0,8.0,2.0,2.0,4.0,5.0,27.0,13.0,0.667,0.667,0.667,0.923,8.5,27.9,17.7,39.9,2.8,5.3,25.0,28.8,149.0,121.0,NOP,111,1,0,240.0,240.0,37.0,82.0,0.451,15.0,35.0,0.429,15.0,16.0,0.938,10.0,34.0,44.0,22.0,2.0,1.0,14.0,29.0,104.0,,0.584,0.543,0.427,0.195,22.2,85.0,51.8,59.5,2.1,2.0,13.6,100.0,111.7,119.2,,,11.0,16.0,0.688,5.0,9.0,1.0,5.0,6.0,1.0,5.0,11.0,16.0,7.0,1.0,1.0,3.0,6.0,31.0,2.0,0.873,0.844,1.0,0.545,21.8,53.9,36.9,31.1,2.1,2.7,66.7,34.6,148.0,123.0,MEM,104,0,2018,2018-01-20,True
